# x y u_computed u_exact error
0.00000000 0.00000000 1.00000000 1.00000000 0.00000000
0.09090909 0.00000000 1.09503237 1.09503237 0.00000000
0.18181818 0.00000000 1.19819719 1.19819719 0.00000000
0.27272727 0.00000000 1.30912491 1.30912491 0.00000000
0.36363636 0.00000000 1.42714388 1.42714388 0.00000000
0.45454545 0.00000000 1.55123900 1.55123900 0.00000000
0.54545455 0.00000000 1.68002174 1.68002174 0.00000000
0.63636364 0.00000000 1.81171659 1.81171659 0.00000000
0.72727273 0.00000000 1.94416944 1.94416944 0.00000000
0.81818182 0.00000000 2.07488187 2.07488187 0.00000000
0.90909091 0.00000000 2.20107409 2.20107409 0.00000000
1.00000000 0.00000000 2.31977682 2.31977682 0.00000000
0.00000000 0.09090909 1.09516944 1.09516944 0.00000000
0.09090909 0.09090909 1.25746540 1.19924599 0.05821942
0.18181818 0.09090909 1.42752003 1.31222894 0.11529109
0.27272727 0.09090909 1.60200563 1.43371360 0.16829204
0.36363636 0.09090909 1.77368469 1.56296436 0.21072033
0.45454545 0.09090909 1.93053982 1.69886955 0.23167027
0.54545455 0.09090909 2.06051073 1.83990846 0.22060226
0.63636364 0.09090909 2.17063338 1.98413664 0.18649674
0.72727273 0.09090909 2.27116289 2.12919496 0.14196793
0.81818182 0.09090909 2.36681238 2.27234721 0.09446517
0.90909091 0.09090909 2.45752351 2.41054908 0.04697444
1.00000000 0.09090909 2.54054869 2.54054869 0.00000000
0.00000000 0.18181818 1.19939610 1.19939610 0.00000000
0.09090909 0.18181818 1.43098056 1.31337755 0.11760301
0.18181818 0.18181818 1.67178611 1.43711304 0.23467307
0.27272727 0.18181818 1.91733935 1.57015932 0.34718004
0.36363636 0.18181818 2.15465523 1.71171080 0.44294442
0.45454545 0.18181818 2.35593440 1.86055001 0.49538438
0.54545455 0.18181818 2.47927797 2.01501152 0.46426645
0.63636364 0.18181818 2.55640305 2.17296581 0.38343723
0.72727273 0.18181818 2.61875297 2.33182925 0.28692372
0.81818182 0.18181818 2.67752822 2.48860522 0.18892300
0.90909091 0.18181818 2.73338532 2.63995968 0.09342564
1.00000000 0.18181818 2.78233128 2.78233128 0.00000000
0.00000000 0.27272727 1.31354196 1.31354196 0.00000000
0.09090909 0.27272727 1.61590850 1.43837096 0.17753753
0.18181818 0.27272727 1.93252253 1.57388228 0.35864025
0.27272727 0.27272727 2.26242665 1.71959050 0.54283615
0.36363636 0.27272727 2.59313410 1.87461336 0.71852074
0.45454545 0.27272727 2.88030229 2.03761752 0.84268477
0.54545455 0.27272727 2.96444767 2.20677904 0.75766863
0.63636364 0.27272727 2.97585020 2.37976575 0.59608445
0.72727273 0.27272727 2.98713011 2.55374813 0.43338197
0.81818182 0.27272727 3.00632698 2.72544439 0.28088259
0.90909091 0.27272727 3.02900067 2.89120317 0.13779751
1.00000000 0.27272727 3.04712419 3.04712419 0.00000000
0.00000000 0.36363636 1.43855101 1.43855101 0.00000000
